TEAM,GAMES,DEF_RATING,STEALS,BLOCKS,PTS_IN_PAINT_ALLOWED,FASTBREAK_PTS_ALLOWED,SECOND_CHANCE_PTS_ALLOWED,DEF_RANK,DEF_SCORE,DEF_LABEL
Atlanta Hawks,82,118.4,7.5,4.5,53.7,16.6,13.7,27.0,92.5,WEAK_DEF
Boston Celtics,82,110.6,6.8,6.6,47.7,13.0,13.6,2.0,26.0,STRONG_DEF
Brooklyn Nets,82,115.4,6.8,5.2,48.3,15.6,14.0,20.0,74.5,AVERAGE_DEF
Charlotte Hornets,82,119.2,6.9,4.5,52.5,13.8,14.1,29.0,85.5,WEAK_DEF
Chicago Bulls,82,115.7,7.8,4.8,45.4,13.3,13.8,22.0,44.5,AVERAGE_DEF
Cleveland Cavaliers,82,112.1,7.4,4.6,46.5,14.3,12.9,7.0,32.0,STRONG_DEF
Dallas Mavericks,82,114.9,6.9,5.0,51.0,15.7,14.3,18.0,87.5,WEAK_DEF
Denver Nuggets,82,112.3,7.1,5.6,50.3,13.5,13.2,8.0,41.5,STRONG_DEF
Detroit Pistons,82,118.0,6.5,4.7,54.5,14.2,13.9,25.0,82.0,AVERAGE_DEF
Golden State Warriors,82,114.5,7.0,4.6,49.7,14.9,13.4,15.0,59.5,AVERAGE_DEF
Houston Rockets,82,112.8,7.8,4.6,48.7,11.7,13.8,10.0,37.5,STRONG_DEF
Indiana Pacers,82,117.6,7.7,5.9,58.4,13.7,14.8,24.0,90.5,WEAK_DEF
LA Clippers,82,114.6,7.8,5.0,49.7,14.9,14.0,16.0,70.0,AVERAGE_DEF
Los Angeles Lakers,82,114.8,7.4,5.5,51.3,16.2,14.9,17.0,92.0,WEAK_DEF
Memphis Grizzlies,82,113.7,8.2,6.1,48.1,15.1,14.0,12.5,63.5,AVERAGE_DEF
Miami Heat,82,111.5,7.5,3.4,46.4,13.0,13.2,5.0,20.0,STRONG_DEF
Milwaukee Bucks,82,115.0,6.8,5.0,51.0,13.6,13.7,19.0,60.5,AVERAGE_DEF
Minnesota Timberwolves,82,108.4,7.9,6.1,46.1,13.2,12.7,1.0,13.0,STRONG_DEF
New Orleans Pelicans,82,111.9,8.3,4.6,46.6,13.6,12.8,6.0,25.5,STRONG_DEF
New York Knicks,82,112.4,7.5,4.1,46.9,13.8,12.3,9.0,30.5,STRONG_DEF
Oklahoma City Thunder,82,111.0,8.5,6.6,47.0,12.5,15.3,4.0,42.0,AVERAGE_DEF
Orlando Magic,82,110.8,8.2,5.2,47.5,14.5,12.1,3.0,31.0,STRONG_DEF
Philadelphia 76ers,82,113.0,8.5,6.0,50.1,15.4,13.6,11.0,62.5,AVERAGE_DEF
Phoenix Suns,82,113.7,7.4,6.0,49.7,14.4,14.0,12.5,62.0,AVERAGE_DEF
Portland Trail Blazers,82,116.6,7.6,4.3,53.5,17.0,14.2,23.0,98.5,WEAK_DEF
Sacramento Kings,82,114.4,7.6,4.2,48.9,11.8,10.9,14.0,30.0,STRONG_DEF
San Antonio Spurs,82,115.6,7.1,6.3,54.8,14.5,14.2,21.0,89.5,WEAK_DEF
Toronto Raptors,82,118.1,7.7,4.7,54.3,14.5,15.6,26.0,99.0,WEAK_DEF
Utah Jazz,82,119.6,6.5,5.6,51.8,18.4,14.4,30.0,107.0,WEAK_DEF
Washington Wizards,82,118.9,7.6,5.1,58.4,15.1,16.4,28.0,110.0,WEAK_DEF
